Molecular Weight,AlogP,#RO5 Violations,Action_Encoded,pIC50
471.62,3.17,0.0,0,5.301029995663981
447.52,2.69,0.0,0,5.301029995663981
456.61,2.87,0.0,0,5.301029995663981
448.51,2.08,0.0,0,5.301029995663981
473.53,2.99,0.0,0,5.301029995663981
472.54,3.6,0.0,0,5.301029995663981
473.53,2.99,0.0,0,5.301029995663981
452.54,2.82,0.0,0,5.301029995663981
407.51,3.65,0.0,0,5.301029995663981
469.61,2.92,0.0,0,5.301029995663981
442.52,3.59,0.0,0,5.301029995663981
462.37,2.91,0.0,1,5.298432014944073
294.31,2.35,0.0,1,5.298000525110363
254.33,2.41,0.0,0,5.292429823902063
375.49,2.77,0.0,0,5.292429823902063
364.44,0.38,0.0,1,5.285670240254767
364.44,0.38,0.0,1,5.285670240254767
461.38,3.52,0.0,1,5.284832642151542
406.49,1.67,0.0,1,5.267606240177032
252.27,3.47,0.0,0,5.267606240177032
248.24,1.67,0.0,1,5.259637310505756
401.47,2.46,0.0,1,5.259637310505756
447.47,4.29,0.0,0,5.253365801062421
431.4,4.12,0.0,0,5.251037138743839
423.25,2.31,0.0,0,5.249491605148654
364.78,2.69,0.0,0,5.247183568811729
316.74,3.91,0.0,0,5.242603971206976
317.41,3.36,0.0,0,5.2380721615794705
398.47,3.12,0.0,1,5.236572006437063
382.49,4.65,0.0,1,5.232547281902227
248.32,2.36,0.0,1,5.229147988357856
437.46,4.85,0.0,0,5.228412519118745
366.87,4.13,0.0,0,5.22767829327708
407.37,4.64,0.0,0,5.2247537402597635
420.52,2.01,0.0,1,5.221848749616356
252.28,2.24,0.0,0,5.221848749616356
403.46,5.04,1.0,0,5.221848749616356
394.48,2.75,0.0,1,5.221848749616356
378.47,3.57,0.0,1,5.214670164989233
429.5,1.46,0.0,1,5.207608310501746
407.3,3.54,0.0,0,5.205511953340831
381.4,4.7,0.0,0,5.20342566678957
356.43,3.18,0.0,0,5.202732459169283
391.48,3.03,0.0,1,5.200659450546418
450.46,2.38,1.0,0,5.1979107421182675
420.49,2.49,0.0,0,5.19708951058096
409.41,4.81,0.0,0,5.1944991418416
461.49,4.33,0.0,0,5.187086643357144
383.76,4.28,0.0,0,5.186419011431808
232.32,3.24,0.0,1,5.181774106386045
126.11,-0.13,0.0,0,5.180456064458132
361.42,2.08,0.0,1,5.167491087293763
394.48,2.75,0.0,1,5.167491087293763
354.86,2.58,0.0,1,5.159266765388193
280.33,3.08,0.0,1,5.1489863931763304
415.53,3.33,0.0,0,5.136677139879544
352.84,2.33,0.0,1,5.13608262304214
345.38,2.54,0.0,0,5.1249387366083
461.37,4.04,0.0,0,5.1180450286604
431.54,5.45,1.0,0,5.117475462045119
425.35,3.22,0.0,1,5.115204636051019
406.49,1.97,0.0,1,5.107905397309519
590.7,3.39,1.0,1,5.1073489661227
416.93,3.41,0.0,1,5.103473782510445
478.61,5.66,1.0,1,5.088842391260023
278.31,3.36,0.0,0,5.083019952679618
384.84,1.99,0.0,1,5.073143291050307
335.41,2.7,0.0,1,5.060480747381382
377.37,4.97,0.0,0,5.057991946977687
396.49,2.21,0.0,1,5.057495893831919
420.52,2.01,0.0,1,5.055517327849832
313.36,2.97,0.0,1,5.050609993355087
610.73,7.85,1.0,0,5.049148541111453
478.61,5.66,1.0,1,5.039338992729018
449.58,4.39,0.0,1,5.037157318798758
282.35,2.97,0.0,0,5.028260409112222
534.66,6.1,2.0,1,5.026779753147766
380.9,3.11,0.0,1,5.011441043121384
354.41,3.82,0.0,0,5.007446482167865
618.84,5.58,2.0,1,5.006123085058789
352.84,2.33,0.0,1,5.004803708402821
431.93,4.38,0.0,1,5.0
543.36,6.21,2.0,0,5.0
422.51,3.5,0.0,0,5.0
368.46,2.83,0.0,0,5.0
